creator,video_title,link,upload_date,period,food_type,portion_size,views,food_quantity,calories
Matt Stonie,"""Dunkin Donuts 10,000(+) Calorie Challenge""",https://www.youtube.com/watch?v=5E40mf0MNb0,"Jul 18, 2018",mid,donuts,extreme,"16,812,016",12 Assorted Donuts 25 Munchkins 3 Bagels 3 Muffins 3 Breakfast Sandwichs 2 Apple Fritters Strawberry Coolatta French Vanilla Swirl Frozen Coffee Iced Coffee,"12,880"
Matt Stonie,"""The Challenge EPIC MEAL TIME Failed (KFC Full Menu)""",https://www.youtube.com/watch?v=sNGdOaZLwxM,"Jul 31, 2018",mid,fast food,extreme,"38,679,801",8 pc Bucket of Chicken (no requesting all drumsticks!) 3 Potato Wedges 3 Sides 3 Crispy Colonels 1 Georgia Gold Sandwich 1 Nashville Hot 1 Chicken Poppers 3 Cookies,"7,000 (estimated)"
Matt Stonie,"""1620 Pocky Challenge (15,300 Cals)""",https://www.youtube.com/watch?v=g0BESHs4YYo,"Aug 21, 2018",mid,pocky,extreme,"48,663,896",45 boxes of pocky,"15,300"
Matt Stonie,"""Eating Happy Meals until I get EVERY CARD!! (Mcdonald's x Pokemon 2025)""",https://www.youtube.com/watch?v=LBIoYGBknpY,"Jan 27, 2025",recent,fast food,extreme,"1,956,278","25 Happy Meals! 12 Burgers, 13 4pc Nuggets.","10,835"
Matt Stonie,"""Couple's Food Challenge!! (Hawaii's BIGGEST Pancake)""",https://www.youtube.com/watch?v=QJrMlEAppSc,"May 25, 2025",recent,pancake,extreme,"785,135","5lbs of Pancakes, Whipped Cream, and Strawberries","5,000 (estimated)"
Matt Stonie,"""The End of an Era...""",https://www.youtube.com/watch?v=YYVfcerW6q8,"Jul 25, 2025",recent,burrito,extreme,"2,332,078",5 lb burrito,"4,500 (estimated)"
Matt Stonie,"""Impossible to eat Marshmallow (15,652 calories)""",https://www.youtube.com/watch?v=rCkAkwpib2I,"Sep 6, 2025",recent,marshmallow,extreme,"965,900",13.5 lb marshmallow,"15,652"
Matt Stonie,"""The SPICiEST Chicken Sandwich Ever.. (Howlin' Rays)""",https://www.youtube.com/watch?v=8s8a5B9GzGo,"Oct 26, 2025",recent,fried chicken,extreme,"3,858,043",everything on howlin' rays menu,
Matt Stonie,"""The FASTEST Burger King x Spongebob Meal Ever Eaten""",https://www.youtube.com/watch?v=jnmRi8qN9Cg,"Dec 8, 2025",recent,fast food,extreme,"919,768",,
Matt Stonie,"""Gross Start to 2026..""",https://www.youtube.com/watch?v=1V_ufGS8Fnw,"Jan 28, 2026",recent,natto,large,"454,016",1 lb natto,900
Matt Stonie,"""Can I Eat more than Luffy?""",https://www.youtube.com/watch?v=UncFViX_PR8,"Feb 20, 2026",recent,various,extreme,"923,557","23 menu items: zoro's onigiri, banban's pepper & egg fried rice, creamy ""sea king"" gorgonzola pasta, sanji's seafood fried rice, tajio's beef curry, frankie's bacon cheeseburger & fries, might meats pirate platter, robin's flower power refresher, coca cola ice cream float, tangerine slushie, mango matcha strawberry ube stretchy mochi cakes, crispy riceballs, cinnamon brioche bread crusts, mom's wedding flavors cake, chopper's hat cake, gum-gum devilfruit cake","12,000"
Nikocado Avocado,"""CHEESIEST MAC AND CHEESE • Mukbang & Recipe""",https://www.youtube.com/watch?v=m6B_BqsS_cU,"Oct 5, 2016",early,mac and cheese,moderate,"5,987,561",,
Nikocado Avocado,"""My First Ramen Noodle • MUKBANG""",https://www.youtube.com/watch?v=MHQneSmtKU4,"Oct 6, 2016",early,ramen,moderate,"2,265,578",4 ramen packets,"1,800"
Nikocado Avocado,"""My FIRST TIME COOKING ON CAMERA • Mukbang & Recipe""",https://www.youtube.com/watch?v=gKjEiga8z4o,"Oct 7, 2016",early,teriyaki fried rice,moderate,"581,993",,
Nikocado Avocado,"""FLUFFY PEANUT BUTTER PANCAKE • Mukbang & Recipe""",https://www.youtube.com/watch?v=RbXY3C7WKuM,"Oct 8, 2016",early,pancakes,moderate,"459,519",5 pancakes,"1,000 (estimate)"
Nikocado Avocado,"""Fried Mozzarella Cheese Stick • MUKBANG""",https://www.youtube.com/watch?v=YDaXoI4GiAk,"Oct 9, 2016",early,mozzarella sticks,large,"571,763",30 mozzarella sticks,"3,000 (estimate)"
Nikocado Avocado,"""FRIED CHICKEN RAMEN NOODLE • Mukbang & Recipe""",https://www.youtube.com/watch?v=zRvpFPo5jDY,"Oct 10, 2016",early,ramen,moderate,"766,277",4 ramen packets,"1,500 (estimate)"
Nikocado Avocado,"""FRIED AVOCADO RAMEN NOODLE • Mukbang & Recipe""",https://www.youtube.com/watch?v=nnrjqf8boWo,"Oct 12, 2016",early,ramen,moderate,"188,673",,
Nikocado Avocado,"""50 Empanadas Challenge • MUKBANG""",https://www.youtube.com/watch?v=vZ9sJVlO3Ik,"Oct 15, 2016",early,empanadas,extreme,"360,583",50 empanadas,"6,000 (estimate)"
Nikocado Avocado,"""My Little Brother Tries King Crab Legs For The First Time • MUKBANG""",https://www.youtube.com/watch?v=1HKAO4faFNg,"Mar 20, 2020",mid,crab,moderate,"632,688",5 giant king crab legs,"2,000 (estimate)"
Nikocado Avocado,"""In-N-Out Burger • Animal Style Cheat Day • MUKBANG""",https://www.youtube.com/watch?v=oNG2mR_pfTw,"Mar 14, 2020",mid,fast food,large,"1,043,038","3 Double-Double burgers, 3 animal style fries","5,000 (estimate)"
Nikocado Avocado,"""Tammy Tries Taco Bell Drive-Thru • MUKBANG""",https://www.youtube.com/watch?v=QJB4KhhcZDE,"Mar 11, 2020",mid,fast food,large,"1,811,703","Taco Bell Nacho fries, the new taco bell buffalo nacho fries burrito, and the buffalo nacho fries supreme","2,000 (estimate)"
Nikocado Avocado,"""Blove's Lobster Seafood Boil With Hot Cheetos Mozz Sticks • MUKBANG""",https://www.youtube.com/watch?v=wQ66XC_860o&t=7s&pp=0gcJCdgKAYcqIYzv,"Mar 9, 2020",mid,seafood boil,large,"620,193",,
Nikocado Avocado,"""KFC CHICKEN with CHEESE SAUCE • Mukbang & Recipe""",https://www.youtube.com/watch?v=h8iwJzmPBEg,"Mar 7, 2020",mid,fried chicken,large,"1,243,573","2 buckets of kfc, fries, cheese sauce","5,000 (estimate)"
Nikocado Avocado,"""Shake Shack • MUKBANG""",https://www.youtube.com/watch?v=-k4XJn-VImo,"Mar 5, 2020",mid,fast food,large,"689,568","Cheese Fries, Mushroom Burger aka Shroom Burger,  double cheeseburger, Chicken Sandwich, and chicken nuggets","3,000 (estimate)"
Nikocado Avocado,"""My Brother Tries Spicy Cheesy Rice Cakes For The First Time • MUKBANG""",https://www.youtube.com/watch?v=cPfs1mTjlHw,"Feb 28, 2020",mid,spicy rice cake,moderate,"897,060",,
Nikocado Avocado,"""Five Guys With Cheese Sauce • MUKBANG""",https://www.youtube.com/watch?v=QOOZi8dX8uU,"Feb 25, 2020",mid,burgers and fries,extreme,"663,878",,
Nikocado Avocado,"""Eating My Weight In Taco Bell • MUKBANG""",https://www.youtube.com/watch?v=u0HIUKPTwyU,"Feb 23, 2020",mid,taco bell,extreme,"549,186",almost 300 lb of taco bell,"10,000+"
Nikocado Avocado,"""Matt Stonie's 10,000 Calorie EXTREMELY CHEESY Takis SPICY FIRE Noodle Challenge (907g. OF CHEESE)""",https://www.youtube.com/watch?v=2605ym5yp5Y,"Jul 19, 2023",recent,noodles,extreme,"3,605,700","10,000 calorie noodle recipe + 900g of cheese","15,000 (estimate)"
Nikocado Avocado,"""EATING THE WORLD'S SPICIEST BLACK BEAN NOODLES WITH HUNGRY FAT CHICK • Mukbang & Recipe""",https://www.youtube.com/watch?v=i6ocpS7flaI,"Aug 12, 2023",recent,noodles,extreme,"5,675,450",,
Nikocado Avocado,"""EATING THE WORLD'S SPICIEST BLUE HEAT TAKIS FIRE NOODLES • Mukbang & Recipe""",https://www.youtube.com/watch?v=CBfkJuDSOcg,"Oct 29, 2023",recent,noodles,extreme,"5,802,443",,
Nikocado Avocado,"""WHY WE CAN'T BREAK UP • SPICY CHEESY FIRE NOODLES • Mukbang & Recipe""",https://www.youtube.com/watch?v=OXSkFW8wLiw&pp=0gcJCdgKAYcqIYzv,"Feb 5, 2024",recent,noodles,extreme,"17,485,655",,
Nikocado Avocado,"""Heart Attack Grill""",https://www.youtube.com/watch?v=4AtVK7GKoMA,"Nov 26, 2024",recent,burger,extreme,"1,747,198",,
Nikocado Avocado,"""Fire Noodles with Hungry Fat Chick""",https://www.youtube.com/watch?v=BJfbbWilU74,"Dec 29, 2024",recent,noodles,extreme,"1,772,065",,
Nikocado Avocado,"""WHY WE CAN'T BREAK UP • BLACK BEAN FIRE NOODLES • Mukbang & Recipe""",https://www.youtube.com/watch?v=0LasfgdHM_Y,"May 14, 2025",recent,noodles,extreme,"2,096,070",,3000+
Nikocado Avocado,"""KFC Kentucky Fried Chicken with Trailer Trash Tammy • MUKBANG""",https://www.youtube.com/watch?v=qhIL1yrTd74,"Dec 4, 2025",recent,fried chicken,large,"497,040",,
